surname	firstname	music	nationality	birth	death
Abel	Carl Friedrich	Symphony in D major, WK 7	German	1723	1787
Abel	Carl Friedrich	Symphony in B-flat major, WK 8	German	1723	1787
Abel	Carl Friedrich	Symphony in E-flat major, WK 18	German	1723	1787
Abel	Carl Friedrich	Trio Sonata in A major, WK 121	German	1723	1787
Abel	Carl Friedrich	Trio Sonata in B-flat major, WK 117	German	1723	1787
Abel	Carl Friedrich	Trio Sonata in C major, WK 100	German	1723	1787
Abel	Carl Friedrich	Trio Sonata in C major, WK 120	German	1723	1787
Abel	Carl Friedrich	Trio Sonata in D major, WK 99	German	1723	1787
Abel	Carl Friedrich	Trio Sonata in E major, WK 119	German	1723	1787
Abel	Carl Friedrich	Trio Sonata in F major, WK 122	German	1723	1787
Abel	Carl Friedrich	Trio Sonata in G major, WK 80	German	1723	1787
Abel	Carl Friedrich	Trio Sonata in G major, WK 98	German	1723	1787
Abel	Carl Friedrich	Trio Sonata in G major, WK 101	German	1723	1787
Abel	Carl Friedrich	Trio Sonata in G major, WK 118	German	1723	1787
Abel	Carl Friedrich	Viola da Gamba Sonata in E minor, WK 150	German	1723	1787
Abel	Carl Friedrich	Viola da Gamba Sonata in G major, WK 155	German	1723	1787
Abel	Clamor Heinrich	Rost Codex (Rost, Franz)	German	1634	1696
Abel	Frederic	Lola Polka	unknown	unknown	unknown
Abel	Frederic	Oh Where Art Thou Dreaming	unknown	unknown	unknown
Abel	Frederic	Oh! Skylark for Thy Wings	unknown	unknown	unknown
Abel	Frederic	Le Souvenir	unknown	unknown	unknown
Abel	Frederic	The Switzer's Farewell with Brilliant Variations	unknown	unknown	unknown
Abel	Ludwig	Ecole du mécanisme	German	1835	1895
Abel	Ludwig	6 Grosse Etüden	German	1835	1895
Abel	Ludwig	25 Violin-Etüden	German	1835	1895
Abela	Placido	Concerto for Cello, Piano and Harmonium in F major	unknown	unknown	unknown
Abela	Placido	Concerto for Cello, Piano and Harmonium in G minor	unknown	unknown	unknown
Abelardo	Nicanor	Cavatina, Op.7	unknown	1893	1934
Abelardo	Nicanor	Nasaan ka irog?	unknown	1893	1934
Abelardo	Nicanor	Nocturne No.1	unknown	1893	1934
Abelardo	Nicanor	Romanza, Op.8	unknown	1893	1934
Abelardus	Petrus	Planctus Jacob super filios suos	unknown	unknown	unknown
Abell	John	A Choice Collection of Italian Ayres	Scottish	unknown	unknown
Abert	Johann Joseph	Astorga	German	1832	1915
Abert	Johann Joseph	Concert Overture in E major	German	1832	1915
Abert	Johann Joseph	Double Bass Concerto	German	1832	1915
Abert	Johann Joseph	Präludium, Fuge und Choral	German	1832	1915
Abert	Johann Joseph	Symphony No.4, Op.31	German	1832	1915
Abert	Johann Joseph	Symphony No.5	German	1832	1915
Abesser	Edmund	6 Charakteristische Tonbilder, Op.269	unknown	1837	1889
Abesser	Edmund	Frühlingsblüten	unknown	1837	1889
Abesser	Edmund	Liebes-Ständchen, Op.192	unknown	1837	1889
Abesser	Edmund	Polonaise	unknown	1837	1889
Abesser	Edmund	Sommernacht-Ständchen	unknown	1837	1889
Abesser	Edmund	Tiroler Klänge, Op.14	unknown	1837	1889
Abesser	Edmund	Weisst du noch?, Op.344	unknown	1837	1889
Abig	Adolphé	Arelina Waltz	Chinese	1893	1950
Abig	Adolphé	Pavilion Gallop	Chinese	1893	1950
Abig	Adolphé	Rondino Castilian	Chinese	1893	1950
Abig	Adolphé	The Snow Flake	Chinese	1893	1950
Abig	Adolphé	Da Langtaosha (Abing)	Chinese	1893	1950
Abig	Adolphé	Erquan Yingyue (Abing)	Chinese	1893	1950
Abig	Adolphé	Han Chun Feng Qu (Abing)	Chinese	1893	1950
Ablamowicz	Anna M.	There's Magic in that Little Song	unknown	unknown	unknown
Ablamowicz	Anna M.	We've Shared Each Other's Smiles and Tears	unknown	unknown	unknown
Ablamowicz	Anna M.	What Joy to be Near Thee	unknown	unknown	unknown
Abondante	Giulio	Bergamasca	unknown	unknown	unknown
Abos	Girolamo	Alessandro nell'Indie	Italian	1715	1760
Abos	Girolamo	Arianna e Teseo	Italian	1715	1760
Abos	Girolamo	Artaserse	Italian	1715	1760
Abos	Girolamo	Erifile	Italian	1715	1760
Abos	Girolamo	Magnificat à quarto concertato con strum.	Italian	1715	1760
Abos	Girolamo	Missa in G major	Italian	1715	1760
Abos	Girolamo	Pelopida	Italian	1715	1760
Abos	Girolamo	Stabat mater	Italian	1715	1760
Abos	Girolamo	Tito Manlio	Italian	1715	1760
Aboyan	Gayk	Dessous les lauriers blancs	unknown	unknown	unknown
Aboyan	Gayk	In dulci jubilo	unknown	unknown	unknown
Abrahams	Maurice	20th Century Rag	American	1883	1931
Abrahams	Maurice	All He Does is Follow Them Around	American	1883	1931
Abrahams	Maurice	He'd Have to get under, get out and get Under	American	1883	1931
Abrahams	Maurice	You Great Big Bashful Doll	American	1883	1931
Abrahams	V.	Vivian Valse	unknown	unknown	unknown
Abramowitsch	A.	3 Nocturnes	unknown	unknown	unknown
Abrams	Harriett	Crazy Jane	British	1750	1821
Abrams	Harriett	The Friend of my Heart	British	1750	1821
Abrams	Harriett	The Orphan's Prayer	British	1750	1821
Abrams	Harriett	A Smile and a Tear	British	1750	1821
Abrams	Harriett	The Three Sighs - Sorrow, Hope &amp; Bliss	British	1750	1821
Abrams	Harriett	The White Man	British	1750	1821
Abramson	Joshua M.	Allegro for Harpsichord	unknown	unknown	unknown
Abramson	Joshua M.	The Wicked Draw Their Swords, Op.6	unknown	unknown	unknown
Abranches	Dunshee de	Ave Maria	unknown	unknown	unknown
Abreu	Antonio	Guitar Sonata No.2 in E major	unknown	1750	1820
Abreu	Pedro Miguel	April Sea	unknown	unknown	unknown
Abreu	Pedro Miguel	Aurora	unknown	unknown	unknown
Abreu	Pedro Miguel	Clown Nose	unknown	unknown	unknown
Abreu	Pedro Miguel	In the Offing	unknown	unknown	unknown
Abreu	Pedro Miguel	Misterioso	unknown	unknown	unknown
Abreu	Pedro Miguel	Prelude	unknown	unknown	unknown
Abreu	Pedro Miguel	A Sunset Ago	unknown	unknown	unknown
Abreu	Pedro Miguel	Three Guitars	unknown	unknown	unknown
Abreu	Zequinha	Amando sobre o Mar	Brazilian	1880	1935
Abreu	Zequinha	Tardes em Lindóia	Brazilian	1880	1935
Abreu	Zequinha	Tico-Tico no fubá	Brazilian	1880	1935
Abril Tirado	Pedro	Divertimiento Concertante, Op.43	unknown	unknown	unknown
Abril Tirado	Pedro	Mis Pasatiempos al pie del volcán	unknown	unknown	unknown
Abril Tirado	Pedro	Quinteto Concertante, Op.38	unknown	unknown	unknown
Abril Tirado	Pedro	Sinfonia No.15	unknown	unknown	unknown
Abril Tirado	Pedro	Yaravi	unknown	unknown	unknown
Absenger	Anton	S' Almlüfterl, Op.176	unknown	unknown	unknown
Abt	Franz	Am Neckar am Rhein, Op.89	German	1819	1885
Abt	Franz	6 Amusements sur des mélodies favorites, Op.84	German	1819	1885
Abt	Franz	Aschenbrödel, Op.545	German	1819	1885
Abt	Franz	Aux jeunes Pianistes, Op.112	German	1819	1885
Abt	Franz	Bleib' bei mir, Op.72	German	1819	1885
Abt	Franz	Die Bonvivants, Op.20	German	1819	1885
Abt	Franz	Dem Vaterlande, Op.58 No.1	German	1819	1885
Abt	Franz	Deutsche Volkslieder, Op.90	German	1819	1885
Abt	Franz	4 Duette, Op.176	German	1819	1885
Abt	Franz	2 Duette, Op.326	German	1819	1885
Abt	Franz	4 Duette, Op.407	German	1819	1885
Abt	Franz	12 Duette, Op.576	German	1819	1885
Abt	Franz	3 Duetten für Bariton und Bass, Op.491	German	1819	1885
Abt	Franz	3 Duetten für Sopran und Bass, Op.76	German	1819	1885
Abt	Franz	10 Duetten, Op.91	German	1819	1885
Abt	Franz	Ein eidgenössisches Sängerfest	German	1819	1885
Abt	Franz	Er hat mich geküsst, Op.488	German	1819	1885
Abt	Franz	Fließet schnell Thränen mein	German	1819	1885
Abt	Franz	Frühlings-Wanderung, Op.208	German	1819	1885
Abt	Franz	2 Gedichte von W. Floto, Op.128	German	1819	1885
Abt	Franz	3 Gedichte, Op.118	German	1819	1885
Abt	Franz	4 Gedichte, Op.369	German	1819	1885
Abt	Franz	3 Gedichte, Op.425	German	1819	1885
Abt	Franz	3 Gesänge für Männerchor, Op.148	German	1819	1885
Abt	Franz	5 Gesänge, Op.163	German	1819	1885
Abt	Franz	5 Gesänge, Op.235	German	1819	1885
Abt	Franz	3 Gesänge, Op.354	German	1819	1885
Abt	Franz	Gewissheit, Op.387	German	1819	1885
Abt	Franz	Good bye, Ye Flow'rets Fair	German	1819	1885
Abt	Franz	Gruss an die Deutschen in Amerika	German	1819	1885
Abt	Franz	Gut' Nacht!	German	1819	1885
Abt	Franz	He Giveth His Beloved Sleep	German	1819	1885
Abt	Franz	Home so blest	German	1819	1885
Abt	Franz	Hornist und Musketier, Op.86	German	1819	1885
Abt	Franz	Hurrah Germania, Op.569	German	1819	1885
Abt	Franz	Jungfrau Rose und Die zwölf Apostel im Rathskeller zu Bremen, Op.598	German	1819	1885
Abt	Franz	Kathleen Aroon	German	1819	1885
Abt	Franz	10 Kinderlieder, Op.107	German	1819	1885
Abt	Franz	8 Kinderlieder, Op.517	German	1819	1885
Abt	Franz	8 Kinderlieder, Op.520	German	1819	1885
Abt	Franz	Lebensfrühling, Op.88	German	1819	1885
Abt	Franz	6 Leichte Duette, Op.444	German	1819	1885
Abt	Franz	10 Leichte Duetten, Op.132	German	1819	1885
Abt	Franz	10 Leichte Duetten, Op.174	German	1819	1885
Abt	Franz	Leichte Männerchöre, Op.108	German	1819	1885
Abt	Franz	Leichte Männerchöre, Op.275	German	1819	1885
Abt	Franz	10 Leichte zweistimmige Lieder, Op.184	German	1819	1885
Abt	Franz	10 Leichte zweistimmige Lieder, Op.316	German	1819	1885
Abt	Franz	Liebeswonne, Op.190	German	1819	1885
Abt	Franz	7 Lieder aus dem Buche der Liebe, Op.39	German	1819	1885
Abt	Franz	6 Lieder, Op.54	German	1819	1885
Abt	Franz	10 Lieder, Opp.60-61	German	1819	1885
Abt	Franz	2 Lieder für eine tiefe Stimme, Op.65	German	1819	1885
Abt	Franz	6 Lieder, Op.66	German	1819	1885
Abt	Franz	6 Lieder, Op.67	German	1819	1885
Abt	Franz	6 Lieder, Op.71	German	1819	1885
Abt	Franz	2 Lieder, Op.79	German	1819	1885
Abt	Franz	5 Lieder, Op.92	German	1819	1885
Abt	Franz	5 Lieder, Op.93	German	1819	1885
Abt	Franz	5 Lieder, Op.94	German	1819	1885
Abt	Franz	3 Lieder, Op.106	German	1819	1885
Abt	Franz	4 Lieder für eine Bariton oder eine Bass-Stimme, Op.109	German	1819	1885
Abt	Franz	6 Lieder, Op.119	German	1819	1885
Abt	Franz	4 Lieder, Op.124	German	1819	1885
Abt	Franz	3 Lieder, Op.137	German	1819	1885
Abt	Franz	5 Lieder, Op.138	German	1819	1885
Abt	Franz	6 Lieder, Op.139	German	1819	1885
Abt	Franz	4 Lieder, Op.144	German	1819	1885
Abt	Franz	4 Lieder, Op.149	German	1819	1885
Abt	Franz	4 Lieder für eine tiefe Stimme, Op.153	German	1819	1885
Abt	Franz	4 Lieder, Op.158	German	1819	1885
Abt	Franz	5 Lieder, Op.160	German	1819	1885
Abt	Franz	4 Lieder, Op.164	German	1819	1885
Abt	Franz	3 Lieder, Op.165	German	1819	1885
Abt	Franz	4 Lieder, Op.166	German	1819	1885
Abt	Franz	3 Lieder, Op.167	German	1819	1885
Abt	Franz	Lieder und Chöre, Op.186	German	1819	1885
Abt	Franz	4 Lieder, Op.195	German	1819	1885
Abt	Franz	4 Lieder, Op.196	German	1819	1885
Abt	Franz	3 Lieder, Op.204	German	1819	1885
Abt	Franz	5 Lieder for Mezzo or Alto, Op.211	German	1819	1885
Abt	Franz	3 Lieder, Op.213	German	1819	1885
Abt	Franz	4 Lieder, Op.220	German	1819	1885
Abt	Franz	5 Lieder, Op.225	German	1819	1885
Abt	Franz	5 Lieder, Op.234	German	1819	1885
Abt	Franz	4 Lieder, Op.237	German	1819	1885
Abt	Franz	3 Lieder, Op.240	German	1819	1885
Abt	Franz	3 Lieder, Op.249	German	1819	1885
Abt	Franz	4 Lieder, Op.251	German	1819	1885
Abt	Franz	5 Lieder, Op.256	German	1819	1885
Abt	Franz	2 Lieder, Op.259	German	1819	1885
Abt	Franz	3 Lieder, Op.264	German	1819	1885
Abt	Franz	5 Lieder, Op.274	German	1819	1885
Abt	Franz	4 Lieder, Op.282	German	1819	1885
Abt	Franz	3 Lieder, Op.294	German	1819	1885
Abt	Franz	4 Lieder, Op.296	German	1819	1885
Abt	Franz	3 Lieder, Op.298	German	1819	1885
Abt	Franz	3 Lieder, Op.301	German	1819	1885
Abt	Franz	3 Lieder, Op.306	German	1819	1885
Abt	Franz	4 Lieder, Op.308	German	1819	1885
Abt	Franz	5 Lieder im Volkston, Op.325	German	1819	1885
Abt	Franz	2 Lieder, Op.327	German	1819	1885
Abt	Franz	6 Lieder, Op.341	German	1819	1885
Abt	Franz	3 Lieder, Op.351	German	1819	1885
Abt	Franz	3 Lieder, Op.360	German	1819	1885
Abt	Franz	13 Lieder und Gesänge für Männerchor, Op.364	German	1819	1885
Abt	Franz	3 Lieder, Op.364	German	1819	1885
Abt	Franz	4 Lieder, Op.365	German	1819	1885
Abt	Franz	4 Lieder, Op.368	German	1819	1885
Abt	Franz	5 Lieder, Op.371	German	1819	1885
Abt	Franz	5 Lieder, Op.372	German	1819	1885
Abt	Franz	6 Lieder, Op.374	German	1819	1885
Abt	Franz	3 Lieder, Op.376	German	1819	1885
Abt	Franz	3 Lieder, Op.395	German	1819	1885
Abt	Franz	4 Lieder, Op.400	German	1819	1885
Abt	Franz	3 Lieder, Op.404	German	1819	1885
Abt	Franz	3 Lieder, Op.417	German	1819	1885
Abt	Franz	6 Lieder für gemischten Chor, Op.420	German	1819	1885
Abt	Franz	3 Lieder, Op.421	German	1819	1885
Abt	Franz	3 Lieder, Op.424	German	1819	1885
Abt	Franz	3 Lieder für eine tiefere Stimme, Op.428	German	1819	1885
Abt	Franz	4 Lieder aus dem Englischen, Op.433	German	1819	1885
Abt	Franz	4 Lieder zu englischen Gedichten von George Cooper, Op.435	German	1819	1885
Abt	Franz	3 Lieder, Op.436	German	1819	1885
Abt	Franz	3 Lieder, Op.449	German	1819	1885
Abt	Franz	2 Lieder im Volkston, Op.462	German	1819	1885
Abt	Franz	3 Lieder, Op.463	German	1819	1885
Abt	Franz	4 Lieder, Op.465	German	1819	1885
Abt	Franz	14 Lieder, Op.471	German	1819	1885
Abt	Franz	4 Lieder, Op.478	German	1819	1885
Abt	Franz	4 Lieder, Op.478bis	German	1819	1885
Abt	Franz	4 Lieder, Op.481	German	1819	1885
Abt	Franz	4 Lieder für eine Baßstimme, Op.485	German	1819	1885
Abt	Franz	2 Lieder, Op.486	German	1819	1885
Abt	Franz	3 Lieder, Op.487	German	1819	1885
Abt	Franz	3 Lieder, Op.493	German	1819	1885
Abt	Franz	4 Lieder, Op.504	German	1819	1885
Abt	Franz	3 Lieder, Op.509	German	1819	1885
Abt	Franz	3 Lieder, Op.514	German	1819	1885
Abt	Franz	2 Lieder, Op.515	German	1819	1885
Abt	Franz	3 Lieder, Op.522	German	1819	1885
Abt	Franz	2 Lieder im Volkston, Op.530	German	1819	1885
Abt	Franz	3 Lieder (ohne Liebe), Op.531	German	1819	1885
Abt	Franz	3 Lieder, Op.534	German	1819	1885
Abt	Franz	3 Lieder, Op.536	German	1819	1885
Abt	Franz	4 Lieder, Op.541	German	1819	1885
Abt	Franz	3 Lieder, Op.543	German	1819	1885
Abt	Franz	3 Lieder, Op.546	German	1819	1885
Abt	Franz	3 Lieder, Op.551	German	1819	1885
Abt	Franz	3 Lieder, Op.565	German	1819	1885
Abt	Franz	3 Lieder für Soprano und Männer-Quartett, Op.568	German	1819	1885
Abt	Franz	4 Lieder, Op.586	German	1819	1885
Abt	Franz	3 Lieder, Op.603	German	1819	1885
Abt	Franz	6 Lieder, Op.605	German	1819	1885
Abt	Franz	5 Lieder, Op.607	German	1819	1885
Abt	Franz	3 Lieder, Op.612	German	1819	1885
Abt	Franz	4 Lieder, Op.615	German	1819	1885
Abt	Franz	Lieder-Album, Op.386	German	1819	1885
Abt	Franz	Die Lindenwirtin	German	1819	1885
Abt	Franz	Das Märchen von den sieben Raben, Op.570	German	1819	1885
Abt	Franz	Die Matrosen, Op.78	German	1819	1885
Abt	Franz	Mein Testament, Op.314	German	1819	1885
Abt	Franz	4 Muntre Lieder, Op.362	German	1819	1885
Abt	Franz	Nun zieh' ich einsam meinen Weg, Op.620	German	1819	1885
Abt	Franz	Offertory	German	1819	1885
Abt	Franz	Praktische Gesangschule, Op.474	German	1819	1885
Abt	Franz	Les Progrès du jeune Pianiste, Op.63	German	1819	1885
Abt	Franz	Reisebekanntschaften, Op.525	German	1819	1885
Abt	Franz	Rotkäppchen, Op.526	German	1819	1885
Abt	Franz	Rübezahl, Op.600	German	1819	1885
Abt	Franz	Sängers Morgenfahrt, Op.147	German	1819	1885
Abt	Franz	Savez-vous pas?	German	1819	1885
Abt	Franz	5 Schweizerlieder, Op.80	German	1819	1885
Abt	Franz	Sneewittchen, Op.550	German	1819	1885
Abt	Franz	Die Uebermüthigen, Op.22	German	1819	1885
Abt	Franz	4 Vierstimmige Männergesänge, Op.323	German	1819	1885
Abt	Franz	5 Vierstimmige Männergesänge, Op.533	German	1819	1885
Abt	Franz	The Village Bell He Hears	German	1819	1885
Abt	Franz	Vocal Quartets, Op.312	German	1819	1885
Abt	Franz	Wenn ich ein Vöglein wär, Op.377	German	1819	1885
Abt	Franz	Wenn ich ein Vöglein wär	German	1819	1885
Abt	Franz	The Wishing Stone	German	1819	1885
Abt	Franz	6 Zweistimmige Lieder, Op.62	German	1819	1885
Abt	Franz	3 Zweistimmige Lieder, Op.305	German	1819	1885
Abutkov	Aleksey	10 Songs, Op.12	unknown	unknown	unknown
Abutkov	Aleksey	Cum appropinquaret Iesus (Accademico Bizzarro Capriccioso)	unknown	unknown	unknown
Abutkov	Aleksey	Saule, Saule quid me persequeris (Accademico Bizzarro Capriccioso)	unknown	unknown	unknown
Abutkov	Aleksey	Simon Ioannis diligis me plus his (Accademico Bizzarro Capriccioso)	unknown	unknown	unknown
Accolay	Jean-Baptiste	Violin Concerto No.1 in A minor	Belgian	1833	1900
Accolay	Jean-Baptiste	Violin Concerto No.2 in D minor	Belgian	1833	1900
Accordi	Pietro	La Seduzione	unknown	unknown	unknown
Accorimboni	Agostino	Recordare virgo mater	unknown	unknown	unknown
Aceves y Lozano	Rafael	Fantaisie dramatique, Op.115	Spanish	1837	1876
Achard	Marguerite	Premières leçons et principes de harpe, Op.7	unknown	unknown	unknown
Achard	Marguerite	Prière, Op.3	unknown	unknown	unknown
Achron	Isidor	Suite Grotesque, Op.7	American	1892	1948
Achron	Joseph	Coquetterie, Op.15	American	1886	1943
Achron	Joseph	Dance Improvisation on a Hebrew Folksong, Op.37	American	1886	1943
Achron	Joseph	Dans l'intimité, Op.19	American	1886	1943
Achron	Joseph	Elegy for String Quartet, Op.62	American	1886	1943
Achron	Joseph	Fragment mystique, Op.43	American	1886	1943
Achron	Joseph	Hebrew Melody, Op.33	American	1886	1943
Achron	Joseph	2 Hebrew Pieces, Op.35	American	1886	1943
Achron	Joseph	Liebeswidmung, Op.51	American	1886	1943
Achron	Joseph	2 Lieder, Op.52	American	1886	1943
Achron	Joseph	Pensée de L. Auer	American	1886	1943
Achron	Joseph	2 Pieces, Op.56	American	1886	1943
Achron	Joseph	Prelude, Op.13	American	1886	1943
Achron	Joseph	Scher, Op.42	American	1886	1943
Achron	Joseph	Statuettes, Op.66	American	1886	1943
Achron	Joseph	Stempenyu	American	1886	1943
Achron	Joseph	2 Stimmungen, Op.32	American	1886	1943
Achron	Joseph	2 Stimmungen, Op.36	American	1886	1943
Achron	Joseph	Suite bizarre, Op.41	American	1886	1943
Achron	Joseph	Suite No.1 en Style ancien, Op.21	American	1886	1943
Achron	Joseph	Suite No.2 en Style moderne, Op.22	American	1886	1943
Achron	Joseph	Les Sylphides, Op.18	American	1886	1943
Achron	Joseph	Symphonic Variations and Sonata, Op.39	American	1886	1943
Achron	Joseph	4 Tableaux fantastiques, Op.23	American	1886	1943
Achron	Joseph	Violin Concerto No.1, Op.60	American	1886	1943
Achron	Joseph	Violin Sonata No.1, Op.29	American	1886	1943
Ackerman	Daryle Stephen	The Wedding Chorus Chart	unknown	unknown	unknown
Ackerman	Gabriel J.	Aria No.1 in D major, Op.8	unknown	unknown	unknown
Ackerman	Gabriel J.	Ballade No.1, Op.5	unknown	unknown	unknown
Ackerman	Gabriel J.	Chorale No.1 in C major, Op.7	unknown	unknown	unknown
Ackerman	Gabriel J.	Concerto No.1 in C major, Op.6	unknown	unknown	unknown
Ackerman	Samuel	Gen. Zachary Taylor's Grand March Polka	unknown	unknown	unknown
Acosta	Paul d'	Golgotha	unknown	unknown	unknown
Acton	Carlo	Lo nnammorato pacienziuso	Italian	1829	1909
Adair	Mildred	A Day's Journey	unknown	unknown	unknown
Adalid	Marcial del	Andantino, minuetto e trio	German	1440	1505
Adalid	Marcial del	Cantares viejos y nuevos de Galicia	German	1440	1505
Adalid	Marcial del	24 Romances sans paroles	German	1440	1505
Adalid	Marcial del	Sonata for Piano Four Hands	German	1440	1505
Adalid	Marcial del	Un Recuerdo	German	1440	1505
Adalid	Marcial del	Violin Sonata in C minor, Op.17	German	1440	1505
Adalid	Marcial del	Dodecachordon (Glareanus, Henricus)	German	1440	1505
Adalid	Marcial del	12 Hymns from German Masters of 15th Century (Gerber, Rudolf)	German	1440	1505
Adam	Adolphe	À Clichy	French	1803	1856
Adam	Adolphe	Ave verum	French	1803	1856
Adam	Adolphe	Le bijou perdu	French	1803	1856
Adam	Adolphe	Le brasseur de Preston	French	1803	1856
Adam	Adolphe	Cagliostro	French	1803	1856
Adam	Adolphe	Cantique de Noël	French	1803	1856
Adam	Adolphe	Capriccio sur un choral protestant, Op.100	French	1803	1856
Adam	Adolphe	Le chalet	French	1803	1856
Adam	Adolphe	Le corsaire	French	1803	1856
Adam	Adolphe	Le diable à quatre	French	1803	1856
Adam	Adolphe	Falstaff	French	1803	1856
Adam	Adolphe	Le fanal	French	1803	1856
Adam	Adolphe	Le farfadet	French	1803	1856
Adam	Adolphe	Le fidèle berger	French	1803	1856
Adam	Adolphe	La fille de marbre	French	1803	1856
Adam	Adolphe	La fille du Danube	French	1803	1856
Adam	Adolphe	La filleule des fées	French	1803	1856
Adam	Adolphe	Gallop des drapeaux	French	1803	1856
Adam	Adolphe	Giralda	French	1803	1856
Adam	Adolphe	Giselle	French	1803	1856
Adam	Adolphe	Grisélidis	French	1803	1856
Adam	Adolphe	Le houzard de Berchini	French	1803	1856
Adam	Adolphe	La jolie fille de Gand	French	1803	1856
Adam	Adolphe	Marche religieuse	French	1803	1856
Adam	Adolphe	Il me l'à dit cent fois	French	1803	1856
Adam	Adolphe	Le morceau d'ensemble	French	1803	1856
Adam	Adolphe	Le muletier de Tolède	French	1803	1856
Adam	Adolphe	Les pantins de Violette	French	1803	1856
Adam	Adolphe	Pierre et Catherine	French	1803	1856
Adam	Adolphe	La plus heureuse	French	1803	1856
